# LAMMPS data file written by OVITO Basic 3.7.5
864 atoms
2 atom types
-12.513864 37.541592 xlo xhi
-12.513864 37.541592 ylo yhi
-12.513864 37.541592 zlo zhi

Masses

1 55.847
2 196.96657

Atoms  # atomic

1 2 12.513862 12.513862 12.513862
2 2 12.513862 2.085648 2.085648
3 2 2.085648 12.513862 2.085648
4 2 2.085648 2.085648 12.513862
5 2 12.513862 12.513862 4.171288
6 2 12.513862 2.085648 6.256928
7 2 2.085648 12.513862 6.256928
8 2 2.085648 2.085648 4.171288
9 2 12.513862 12.513862 8.342578
10 2 12.513862 2.085648 10.428218
11 2 2.085648 12.513862 10.428218
12 2 2.085648 2.085648 8.342578
13 2 12.513862 4.171288 12.513862
14 2 12.513862 6.256928 2.085648
15 2 2.085648 4.171288 2.085648
16 2 2.085648 6.256928 12.513862
17 2 12.513862 4.171288 4.171288
18 2 12.513862 6.256928 6.256928
19 2 2.085648 4.171288 6.256928
20 2 2.085648 6.256928 4.171288
21 2 12.513862 4.171288 8.342578
22 2 12.513862 6.256928 10.428218
23 2 2.085648 4.171288 10.428218
24 2 2.085648 6.256928 8.342578
25 2 12.513862 8.342578 12.513862
26 2 12.513862 10.428218 2.085648
27 2 2.085648 8.342578 2.085648
28 2 2.085648 10.428218 12.513862
29 2 12.513862 8.342578 4.171288
30 2 12.513862 10.428218 6.256928
31 2 2.085648 8.342578 6.256928
32 2 2.085648 10.428218 4.171288
33 2 12.513862 8.342578 8.342578
34 2 12.513862 10.428218 10.428218
35 2 2.085648 8.342578 10.428218
36 2 2.085648 10.428218 8.342578
37 2 4.171288 12.513862 12.513862
38 2 4.171288 2.085648 2.085648
39 2 6.256928 12.513862 2.085648
40 2 6.256928 2.085648 12.513862
41 2 4.171288 12.513862 4.171288
42 2 4.171288 2.085648 6.256928
43 2 6.256928 12.513862 6.256928
44 2 6.256928 2.085648 4.171288
45 2 4.171288 12.513862 8.342578
46 2 4.171288 2.085648 10.428218
47 2 6.256928 12.513862 10.428218
48 2 6.256928 2.085648 8.342578
49 2 4.171288 4.171288 12.513862
50 2 4.171288 6.256928 2.085648
51 2 6.256928 4.171288 2.085648
52 2 6.256928 6.256928 12.513862
53 2 4.171288 4.171288 4.171288
54 2 4.171288 6.256928 6.256928
55 2 6.256928 4.171288 6.256928
56 2 6.256928 6.256928 4.171288
57 2 4.171288 4.171288 8.342578
58 2 4.171288 6.256928 10.428218
59 2 6.256928 4.171288 10.428218
60 2 6.256928 6.256928 8.342578
61 2 4.171288 8.342578 12.513862
62 2 4.171288 10.428218 2.085648
63 2 6.256928 8.342578 2.085648
64 2 6.256928 10.428218 12.513862
65 2 4.171288 8.342578 4.171288
66 2 4.171288 10.428218 6.256928
67 2 6.256928 8.342578 6.256928
68 2 6.256928 10.428218 4.171288
69 2 4.171288 8.342578 8.342578
70 2 4.171288 10.428218 10.428218
71 2 6.256928 8.342578 10.428218
72 2 6.256928 10.428218 8.342578
73 2 8.342578 12.513862 12.513862
74 2 8.342578 2.085648 2.085648
75 2 10.428218 12.513862 2.085648
76 2 10.428218 2.085648 12.513862
77 2 8.342578 12.513862 4.171288
78 2 8.342578 2.085648 6.256928
79 2 10.428218 12.513862 6.256928
80 2 10.428218 2.085648 4.171288
81 2 8.342578 12.513862 8.342578
82 2 8.342578 2.085648 10.428218
83 2 10.428218 12.513862 10.428218
84 2 10.428218 2.085648 8.342578
85 2 8.342578 4.171288 12.513862
86 2 8.342578 6.256928 2.085648
87 2 10.428218 4.171288 2.085648
88 2 10.428218 6.256928 12.513862
89 2 8.342578 4.171288 4.171288
90 2 8.342578 6.256928 6.256928
91 2 10.428218 4.171288 6.256928
92 2 10.428218 6.256928 4.171288
93 2 8.342578 4.171288 8.342578
94 2 8.342578 6.256928 10.428218
95 2 10.428218 4.171288 10.428218
96 2 10.428218 6.256928 8.342578
97 2 8.342578 8.342578 12.513862
98 2 8.342578 10.428218 2.085648
99 2 10.428218 8.342578 2.085648
100 2 10.428218 10.428218 12.513862
101 2 8.342578 8.342578 4.171288
102 2 8.342578 10.428218 6.256928
103 2 10.428218 8.342578 6.256928
104 2 10.428218 10.428218 4.171288
105 2 8.342578 8.342578 8.342578
106 2 8.342578 10.428218 10.428218
107 2 10.428218 8.342578 10.428218
108 2 10.428218 10.428218 8.342578
109 2 12.513862 12.513862 25.027726
110 2 12.513862 2.085648 14.599512
111 2 2.085648 12.513862 14.599512
112 2 2.085648 2.085648 25.027726
113 2 12.513862 12.513862 16.685152
114 2 12.513862 2.085648 18.770792
115 2 2.085648 12.513862 18.770792
116 2 2.085648 2.085648 16.685152
117 2 12.513862 12.513862 20.856442
118 2 12.513862 2.085648 22.942082
119 2 2.085648 12.513862 22.942082
120 2 2.085648 2.085648 20.856442
121 2 12.513862 4.171288 25.027726
122 2 12.513862 6.256928 14.599512
123 2 2.085648 4.171288 14.599512
124 2 2.085648 6.256928 25.027726
125 2 12.513862 4.171288 16.685152
126 2 12.513862 6.256928 18.770792
127 2 2.085648 4.171288 18.770792
128 2 2.085648 6.256928 16.685152
129 2 12.513862 4.171288 20.856442
130 2 12.513862 6.256928 22.942082
131 2 2.085648 4.171288 22.942082
132 2 2.085648 6.256928 20.856442
133 2 12.513862 8.342578 25.027726
134 2 12.513862 10.428218 14.599512
135 2 2.085648 8.342578 14.599512
136 2 2.085648 10.428218 25.027726
137 2 12.513862 8.342578 16.685152
138 2 12.513862 10.428218 18.770792
139 2 2.085648 8.342578 18.770792
140 2 2.085648 10.428218 16.685152
141 2 12.513862 8.342578 20.856442
142 2 12.513862 10.428218 22.942082
143 2 2.085648 8.342578 22.942082
144 2 2.085648 10.428218 20.856442
145 2 4.171288 12.513862 25.027726
146 2 4.171288 2.085648 14.599512
147 2 6.256928 12.513862 14.599512
148 2 6.256928 2.085648 25.027726
149 2 4.171288 12.513862 16.685152
150 2 4.171288 2.085648 18.770792
151 2 6.256928 12.513862 18.770792
152 2 6.256928 2.085648 16.685152
153 2 4.171288 12.513862 20.856442
154 2 4.171288 2.085648 22.942082
155 2 6.256928 12.513862 22.942082
156 2 6.256928 2.085648 20.856442
157 2 4.171288 4.171288 25.027726
158 2 4.171288 6.256928 14.599512
159 2 6.256928 4.171288 14.599512
160 2 6.256928 6.256928 25.027726
161 2 4.171288 4.171288 16.685152
162 2 4.171288 6.256928 18.770792
163 2 6.256928 4.171288 18.770792
164 2 6.256928 6.256928 16.685152
165 2 4.171288 4.171288 20.856442
166 2 4.171288 6.256928 22.942082
167 2 6.256928 4.171288 22.942082
168 2 6.256928 6.256928 20.856442
169 2 4.171288 8.342578 25.027726
170 2 4.171288 10.428218 14.599512
171 2 6.256928 8.342578 14.599512
172 2 6.256928 10.428218 25.027726
173 2 4.171288 8.342578 16.685152
174 2 4.171288 10.428218 18.770792
175 2 6.256928 8.342578 18.770792
